subtype,filename
soilc,soilc
soilc_layer,soilc_layer
litc,litc
vegc,vegc
alitfallc,litfallc
alitterfallc_wood,litfallc_wood
alitterburnc,litburnc
alitterburnc_wood,litburnc_wood
harvest,pft_harvestc
irrig,cft_airrig
cft_evap,cft_evap
cft_transp,cft_transp
cft_interc,cft_interc
sdate,sdate
hdate,hdate
mpet,pet
cft_evap_grass,cft_evap_grass
cft_transp_grass,cft_transp_grass
cft_interc_grass,cft_interc_grass
aprec,prec
evap,evap
transp,transp
interc,interc
mdischarge,discharge
mrunoff,runoff
cft_gpp,cft_gpp
cft_gpp_grass,cft_gpp_grass
vegc_avg,vegc_avg
fpc,fpc
